,,,,,,,,,,,,FLESHY-FRUITED PLANTS,,,,,,,,,,,,,,,,,,,,,,,,NECTAR,,NON FLESHY-FRUITED PLANTS,,,,,,
ST9S16RO6,RO,9,16,M,FLAT,FRAG,50,0,0,50,40,2,,,,,,,30,1,,,,,,,,,,,,,,2,,x,,x,,,,x,,
ST9S17RO8,RO,9,17,S,FLAT,INTACT,20,5,0,80,45,3,,1,,,,5,,,,,,,,,,,,,,,,3,,,,,,,,,,CHETRI had low fruit crop size (Nov-22-2016); More CHETRI nearby
ST11S8AK7,AK,11,8,M,FLAT,REST,90,2,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
ST11S9AK8,AK,11,9,M,FLAT,REST,90,5,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
ST11S9AK9,AK,11,9,M,FLAT,REST,50,15,0,50,40,,,,,,,,,14,40,,,,,,,,,,,,,,,,5,,5,,,,,
ST11S10AK1,AK,11,10,M,FLAT,REST,90,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
ST11S10AK2,AK,11,10,S,SLOPE,REST,50,25,0,55,50,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,50,,,
ST11S11AK4,AK,11,11,S,FLAT,REST,90,2,0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
ST11S11AK3,AK,11,11,M,FLAT,REST,80,2,0,20,20,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,
ST11S12AK5,AK,11,12,S,FLAT,REST,95,0,0,5,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,
ST11S12AK6,AK,11,12,M,FLAT,REST,30,2,0,30,20,,,,,,,,,,,,,,,,,,,,20,,,,,,,,10,,,,,Mature and small koa inside the plot
ST11S8OP6,OP,11,8,NA,FLAT,REST,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass
ST11S9OP7,OP,11,9,NA,FLAT,REST,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass
ST11S10OP1,OP,11,10,NA,FLAT,REST,95,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
ST11S11OP2,OP,11,11,NA,FLAT,REST,90,0,0,10,10,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
ST11S12OP3,OP,11,12,NA,FLAT,FRAG,90,0,0,10,10,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
ST11S13OP4,OP,11,13,NA,FLAT,FRAG,98,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
ST11S14OP5,OP,11,14,NA,SLOPE,FRAG,60,0,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
ST11S8RK6,RK,11,8,L,FLAT,REST,75,3,0,22,10,,,,,,,,,,,,,,,,,,,,10,,,,,,4,,5,,,,3,
ST11S9RK7,RK,11,9,L,FLAT,REST,40,5,0,60,45,,,,,,,,,,10,,,,,,,,,,,,35,,,,5,,5,,,,5,
ST11S10RK1,RK,11,10,L,SLOPE,REST,65,15,0,35,25,,,,,,,,,,,,,,,,,,,,25,,,,,,,1,,,10,,,One large koa inside the plot
ST11S11RK2,RK,11,11,L,FLAT,REST,60,10,0,40,30,,,,,,,,,,,,,,,,,,,,,,30,,,x,,x,,,,x,,Koa on edge of plot
ST11S12RK3,RK,11,12,M,FLAT,FRAG,10,20,0,70,30,1,5,,,1,15,,,,,,,,,,,,,,,,10,,,,5,,,,15,,20,
ST11S14RK4,RK,11,14,L,FLAT,FRAG,40,20,0,60,15,4,5,,,,,,,,,,,,,,,,,,,,,3,10,,15,,10,2,5,,15,Possibly immature CHETRI
ST11S15RK5,RK,11,15,S,FLAT,FRAG,25,40,0,75,6,,,1,1,,,,,,,,,,,,,,,,5,,,,,,10,,5,,15,,39,Possibly immature Coprosma
ST11S8RO9,RO,11,8,M,SLOPE,REST,50,0,0,50,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,48,
ST11S12RO2,RO,11,12,M,SLOPE,FRAG,60,0,0,40,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,40,
ST11S12RO3,RO,11,12,M,FLAT,REST,80,0,0,20,5,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,10,
ST11S12RO1,RO,11,12,M,FLAT,FRAG,60,5,0,40,25,1,,4,,1,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,ILEANO was fruiting (Dic-7-2016); More fruiting ILEANO nearby
ST11S13RO5,RO,11,13,L,FLAT,FRAG,90,0,0,10,8,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,2,
ST11S13RO4,RO,11,13,M,FLAT,FRAG,32,15,0,68,55,3,25,,,2,15,,,,,,,,,,,,,,10,,,7,5,,3,,,,,,10,Fruiting CHETRI and ILEANO (Dic-7-2016); More CHETRI fruiting between S13 & S14 (transect 11); VACSPP possibly immature
ST11S14RO6,RO,11,14,L,SLOPE,FRAG,50,10,0,50,5,1,,3,3,,1,,,,,,,,,,,,,,1,,,1,1,,,,1,2,5,,40,One ILEANO seedling; one small koa in plot; possibly the COPSPP are immature
ST11S14RO7,RO,11,14,M,SLOPE,FRAG,30,12,0,70,38,6,10,3,3,,,1,5,,,,,,,,,,,,5,,5,,10,,2,,,,,,30,Fruiting CHETRI (Dic-7-2016); Possibly COPSPP and some of the CHETRI are immature
ST11S15RO8,RO,11,15,L,SLOPE,FRAG,15,15,0,77,62,5,20,2,2,,20,,,,,,,,,,,,,,,,,,20,,5,,,,,,10,"CHETRI, ILEANO, and UNK1 were fruiting (Dic-8-2016); Possibly immature Coprosma"
T9S16RO1,RO,9,16,M,FLAT,FRAG,72,0,0,28,3,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,5,,20,
T9S16RK1,RK,9,16,M,FLAT,FRAG,72,5,0,23,16,,,,2,,,,8,,,,,,,,,,,,2,,,,4,,7,,,,,,,
T9S16RK2,RK,9,16,M,FLAT,FRAG,66,0,0,34,15,,,,,,,,,,,,,,,,,,,,5,,,,10,,5,,,,8,,6,
T9S16RO2,RO,9,16,L,FLAT,FRAG,62,0,0,38,13,,,,1,,,,7,,,,,,,,,,,,,,,,5,,,,,,15,,10,COPSPP is sapling (>2m)
T9S16RO3,RO,9,16,M,SLOPE,FRAG,26,0,0,74,60,,30,,,,,,20,,,,,,,,,,,,,,,,20,,,,,,4,,10,CT and Leptam are fruting
T9S16RK3,RK,9,16,L,FLAT,FRAG,30,50,0,75,60,,20,,,,5,,15,,,,,,,,,,,,10,,,,10,,10,,,,17,,4,CHETRI is fruting
T9S15RO4,RO,9,15,M,FLAT,FRAG,53,0,0,47,37,,8,,,,,,15,,3,,,,,,,,,,1,,,,10,,5,,5,,,,,"CHETRI is fruting, MYRLES is Sapling, MP is small, 5% pig distrubance"
T9S15RO5,RO,9,15,M,FALT,FRAG,79,0,0,21,17,,10,,,,,,1,,,,,,,,,,,,,,,,6,,,,,,2,,2,LEPTAM has ripe fruits
T9S14RO6,RO,9,14,L,SLOPE,FRAG,40,20,0,82,72,,30,,,,,,10,,,,,,,,,,,,2,,,,30,,,,,,10,,,"LEPTAM has ripe fruits, grass suppresed in halo; growing tward one half, precentage may add to over 100% due to verticality of understoy."
T9S14RO7,RO,9,14,L,SLOPE,FRAG,96,0,0,4,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,
T9S14RO8,RO,9,14,L,FLAT,FRAG,72,0,0,28,25,,10,,,,2,,3,,,,,,,,,,,,,,,,10,,,,2,,,,1,
T9S14RK4,RK,9,14,S,SLOPE,FRAG,41,3,0,59,1,,,,,,,,,,,,,,,,,,,,,,1,,,,10,,30,,15,,3,"MP is small tree, pig distrubamce"
T9S14RO9,RO,9,14,L,FLAT,FRAG,93,0,0,7,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,2,other small MP in plot
T9S13AK1,AK,9,13,L,SLOPE,REST,49,5,0,51,40,,,,15,,,,,,25,,,,1,,,,,,,,,,,,8,,,,2,,,
T9S13AK2,AK,9,13,L,SLOPE,REST,40,0,0,60,37,,3,,7,,,,,,17,,,,,,,,,,,,10,,,,8,,15,,,,,CT are saplings
T9S12AK3,AK,9,12,L,SLOPE,REST,45,7,0,48,32,,,,12,,,,,,15,,,,,,,,,,,,5,,,,16,,,,,,,ML are saplings
T9S12AK4,AK,9,12,L,SLOPE,REST,35,80,0,57,48,,,,20,,,,,,8,,,,,,,,,,,,20,,,,5,,,,2,,2,
T9S12AK5,AK,9,12,L,SLOPE,REST,27,5,0,73,63,,3,,22,,3,,,,20,,,,4,,,,,,,,15,,,,4,,,,,,2,"3 IA saplings, 8% ML saplings, e "
T9S12AK6,AK,9,12,L,FLAT,REST,88,2,0,10,5,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,
T9S12RO10,RO,9,12,L,SLOPE,REST,77,2,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,15,,5,
T9S12AK7,AK,9,12,L,SLOPE,REST,92,2,0,6,2,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,
T9S12AK8,AK,9,12,L,SLOPE,REST,83,2,0,15,6,,,,,,,,,,,,,,,,6,,,,,,6,,,,,,,,,,3,
T9S12AK9,AK,9,12,L,SLOPE,REST,53,2,0,45,35,,,,13,,2,,5,,15,,,,,,,,,,,,,,,,9,,,,,,1,
T9S11AK10,AK,9,11,L,SLOPE,REST,45,5,0,55,40,,10,,12,,3,,,,10,,,,,,,,,,,,5,,,,5,,10,,,,,
T9S11AK11,AK,9,11,L,SLOPE,REST,34,2,0,64,58,,20,,20,,,,,,10,,,,,,2,,,,,,8,,,,2,,2,,,,,
T9S11AK12,AK,9,11,L,FLAT,REST,39,2,0,61,50,,,,25,,,,,,20,,,,,,1,,,,,,5,,,,5,,5,,,,,
T9S11AK13,AK,9,11,L,SLOPE,REST,55,2,0,45,19,,,,10,,3,,,,1,,,,,,,,,,,,5,,,,6,,29,,,,,MP <1m
T11S9RK1,RK,11,9,L,SLOPE,REST,84,0,0,16,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,10,"Very old tree, many dead brances, new leaf growth but nit much leaves"
T11S9RK2,RK,11,9,L,SLOPE,REST,100,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plot centerd under canopy which is out to one side (not centered at trunk)
T11S9RK3,RK,11,9,L,SLOPE,REST,93,2,0,5,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,we marked the section of the canopy that doesn‰Ûªt overlap with ohia (not centered at trunk)
T11S9RK4,RK,11,9,L,SLOPE,REST,70,2,0,30,20,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,10," host Koa alomot dead, 75% defoliated "
T11S8AK1,AK,11,8,L,SLOPE,REST,90,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,other Koa in plot
T11S8AK2,AK,11,8,L,SLOPE,REST,90,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,other Koa in plot
T11S9AK3,AK,11,9,M,SLOPE,REST,45,2,0,55,55,,,,20,,,,,,5,,,,,,,,25,,,,,,,,,,,,,,,
T11S9AK4,AK,11,9,M,FLAT,REST,45,2,0,55,55,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
T11S10RK5,RK,11,10,L,SLOPE,REST,55,3,0,45,25,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,20,
T11S10RK6,RK,11,10,L,SLOPE,REST,35,5,0,60,50,,,,,,,,,,,,,,,,,,,,,,50,,,,5,,,,,,5,
T11S10RK7,RK,11,10,L,FLAT,REST,96,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,
T11S10AK5,AK,11,10,S,FLAT,REST,95,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
T11S10RO1,RO,11,10,M,FLAT,REST,78,0,0,22,10,,,,,,,,,,,,,,,,,,,,10,,,,,,,,10,,,,2,2 trees making up one canopy
T11S10AK6,AK,11,10,M,FLAT,REST,95,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T11S11RK8,RK,11,11,L,SLOPE,REST,80,0,0,80,40,,,,,,,,,,,,,,,,,,,,,,40,,,,3,,,,,,10,
T11S11RO2,RO,11,11,L,FLAT,REST,95,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,depression in plot
T11S11RK9,RK,11,11,L,FLAT,REST,65,5,0,30,20,,,,,,,,,,,,,,,,,,,,20,,,,,,,,10,,,,,119m from station
T11S11RO3,RO,11,11,M,SLOPE,REST,60,6,0,34,24,,,,,,,,2,,,,,,,,,,,,2,,,,2,,,,,,,,10,119m from station
T11S11RO4,RO,11,11,L,SLOPE,REST,13,2,0,85,55,,,,,,,,,,,,15,,,,,,,,20,,20,,,,,,,,,,30,
T11S12RO5,RO,11,12,M,SLOPE,REST,46,2,0,52,27,,,,,,,,,,,,,,,,,,,,,,25,,2,,10,,,,,,15,
T11S12RO6,RO,11,12,M,SLOPE,REST,83,0,0,17,6,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,1,,,,10,
T11S12RO7,RO,11,12,M,FLAT,FRAG,30,0,0,70,55,,5,,,,,,10,,,,,,,,,,,,30,,,,5,,,,10,,,,5,
T11S12RK10,RK,11,12,M,SLOPE,FRAG,20,5,0,75,55,,,,,,,,5,,,,,,,,,,,,,,50,,,,,,10,,5,,5,
T11S13RK11,RK,11,13,M,SLOPE,FRAG,8,2,0,90,15,,,,,,,,,,,,,,,,,,,,,,15,,,,5,,70,,,,,
T11S13RK12,RK,11,13,M,FLAT,FRAG,28,2,0,70,20,,,,,,,,,,,,,,,,,,,,,,,,20,,10,,,,,,40,"plot combo of 2 canopies, 120m"
T11S13RO8,RO,11,13,L,FLAT,FRAG,59,3,0,38,28,,3,,,,,,,,,,,,,,,,,,20,,,,5,,,,,,,,10,
T11S13RK13,RK,11,13,S,FLAT,FRAG,3,5,0,92,72,,2,,,,,,,,,,,,,,,,,,,,70,,,,5,,15,,,,,
T11S14RK14,RK,11,14,M,FLAT,FRAG,5,0,0,95,40,,10,,,,,,,,,,15,,,,,,,,,,15,,,,5,,20,,,,30,
T11S14RK15,RK,11,14,M,SLOPE,FRAG,45,5,0,50,20,,,,,,,,,,,,,,,,,,,,,,10,,10,,10,,15,,,,5,120m for station
T11S14RK16,RK,11,14,M,FLAT,FRAG,25,5,0,70,30,,10,,,,,,,,,,,,,,,,,,,,20,,,,10,,10,,,,20,
T11S14RO9,RO,11,14,S,FLAT,FRAG,25,0,0,75,25,,,,,,,,5,,,,,,,,,,,,,,,,20,,,,,,10,,30,
T11S14RO10,RO,11,14,S,SLOPE,FRAG,70,0,0,30,25,,,,,,,,,,,,,,,,,,,,15,,,,10,,,,,,,,5,
T11S15RO11,RO,11,15,S,FLAT,FRAG,65,0,0,35,25,,,,,,,,,,,,,,,,,,,,15,,,,10,,,,,,,,10,
T11S15RO12,RO,11,15,L,FLAT,FRAG,3,5,0,92,72,,30,,,,,,10,,,,,,,,,,,,2,,,,30,,10,,,,,,10,
T8S4AK1,AK,8,4,L,FLAT,REST,10,10,0,80,75,,20,,50,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,
T8S4AK2,AK,8,4,M,FLAT,REST,13,7,0,80,50,,20,,20,,,,,,,,,,,,,,,,,,10,,,,10,,20,,,,,
T8S4AK3,AK,8,4,S,FLAT,REST,5,20,0,75,55,,,,30,,,,,,5,,,,,,,,,,,,20,,,,20,,,,,,,
T8S4AK4,AK,8,4,S,FLAT,REST,37,5,0,58,38,,10,,10,,,,,,3,,,,,,,,,,,,15,,,,10,,10,,,,,
T8S4AK5,AK,8,4,L,FLAT,REST,15,5,0,80,70,,20,,20,,,,5,,15,,,,,,,,,,,,10,,,,,,10,,,,,
T8S4RO1,RO,8,4,M,SLOPE,REST,95,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,120m from station
T8S5RK1,RK,8,5,L,SLOPE,REST,95,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canopy offset
T8S5AK6,AK,8,5,M,SLOPE,REST,25,5,0,70,60,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,105m form station
T8S5RO2,RO,8,5,M,SLOPE,REST,60,5,0,35,10,,,,,,,,5,,,,,,,,,,,,,,,,5,,,,25,,,,,
T8S5RO3,RO,8,5,M,SLOPE,REST,70,5,0,20,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,15,,,,,
T8S6RO4,RO,8,6,M,SLOPE,REST,45,10,0,45,25,,,,,,,,,,,,,,,,,,,,,,20,,5,,,,20,,,,,half canopy koa
T8S6RO5,RO,8,6,S,FLAT,REST,85,0,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,10,,5,,,,,
T8S7RO6,RO,8,7,L,FLAT,REST,55,10,0,35,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,30,,,,,
T8S7RO7,RO,8,7,S,SLOPE,FRAG,23,2,0,75,35,,,,,,,,,,,,,,,,,,,,,,,,35,,10,,,,,,30,
T8S8RO8,RO,8,8,M,SLOPE,FRAG,20,15,0,65,45,,,,,,10,,,,,,,,,,,,,,,,,,35,,10,,10,,,,,next to dead RK
T8S8RO9,RO,8,8,M,FLAT,FRAG,45,15,0,40,30,,,,,,,,,,,,,,,,,,,,,,,,30,,10,,,,,,,
T8S8RO10,RO,8,8,L,FLAT,FRAG,68,2,0,30,30,,,,,,,,,,,,,,,,,,,,,,20,,10,,,,,,,,,
T8S9RK2,RK,8,9,S,FLAT,FRAG,0,25,5,70,50,,,,,,,,,,,,,,,,,,,,,,,,50,,10,,,,,,10,
T8S10RK3,RK,8,10,S,FLAT,FRAG,35,5,0,60,40,,,,,,,,,,,,,,,,,,,,20,,,,20,,,,20,,,,,
