ident,Latitude,Longitude,y_proj,x_proj,depth,WAYPOINT,FOCALGROUP,NewHabType,HABITAT,TRANSECT,SITE,DBH,TOPOGRAPHY,%_GRASS,%_US,%_LITTER,%_MOSS,%_FFUS
ST11S12AK6,19.849755,-155.311386,2196513.457,257939.0237,1724.977539,ST11S12AK6,AK,Koa + Grass,REST,11,12,M,FLAT,30,30,2,0,20
ST8S6AK5,19.82072,-155.321717,2193313.325,256812.4109,1875.429688,ST8S6AK5,AK,Koa + Grass,REST,8,6,M,FLAT,65,35,5,0,5
ST9S12AK2,19.832538,-155.308565,2194603.01,258208.4947,1696.375244,ST9S12AK2,AK,Koa + Grass,REST,9,12,M,SLOPE,65,35,0,0,25
T9S11AK13,19.832175,-155.310181,2194565.539,258037.1016,1719.780029,T9S11AK13,AK,Koa + Grass,REST,9,11,L,SLOPE,55,45,2,0,19
T9S12AK9,19.832989,-155.307976,2194652.511,258269.3774,1700.030151,T9S12AK9,AK,Koa + Grass,REST,9,12,L,SLOPE,53,45,2,0,35
ST9S11AK1,19.832577,-155.310417,2194609.984,258014.4987,1720.717163,ST9S11AK1,AK,Koa + Grass,REST,9,11,M,SLOPE,55,45,0,0,40
T9S12AK3,19.832908,-155.307779,2194643.259,258289.8966,1689.775879,T9S12AK3,AK,Koa + Grass,REST,9,12,L,SLOPE,45,48,7,0,32
ST11S9AK9,19.847329,-155.316611,2196252.341,257387.9091,1789.521729,ST11S9AK9,AK,Koa + Understory,REST,11,9,M,FLAT,50,50,15,0,40
T9S13AK1,19.833097,-155.306129,2194661.824,258463.0712,1683.493652,T9S13AK1,AK,Koa + Understory,REST,9,13,L,SLOPE,49,51,5,0,40
ST8S7AK7,19.820249,-155.319584,2193258.101,257035.2112,1844.828003,ST8S7AK7,AK,Koa + Understory,REST,8,7,M,FLAT,48,52,30,0,45
ST8S5AK4,19.821103,-155.324106,2193359.178,256562.6515,1911.389038,ST8S5AK4,AK,Koa + Understory,REST,8,5,S,FLAT,46,54,15,0,30
T11S9AK3,19.846977,-155.317051,2196214.404,257339.7579,1788.485107,T11S9AK3,AK,Koa + Understory,REST,11,9,M,SLOPE,45,55,2,0,55
T11S9AK4,19.847105,-155.316884,2196228.337,257357.4496,1789.582886,T11S9AK4,AK,Koa + Understory,REST,11,9,M,FLAT,45,55,2,0,55
T9S11AK10,19.832785,-155.310284,2194633.231,258027.2336,1724.532837,T9S11AK10,AK,Koa + Understory,REST,9,11,L,SLOPE,45,55,5,0,40
ST11S10AK2,19.848118,-155.314525,2196336.705,257607.6624,1760.104004,ST11S10AK2,AK,Koa + Understory,REST,11,10,S,SLOPE,50,55,25,0,50
T9S12AK4,19.833085,-155.307776,2194662.854,258290.479,1699.289795,T9S12AK4,AK,Koa + Understory,REST,9,12,L,SLOPE,35,57,80,0,48
T8S4AK4,19.821595,-155.326098,2193416.937,256353.1443,1935.761475,T8S4AK4,AK,Koa + Understory,REST,8,4,S,FLAT,37,58,5,0,38
T9S13AK2,19.83297,-155.30701,2194649.023,258370.5671,1689.151978,T9S13AK2,AK,Koa + Understory,REST,9,13,L,SLOPE,40,60,0,0,37
T9S11AK12,19.832608,-155.309549,2194612.578,258103.9796,1712.109619,T9S11AK12,AK,Koa + Understory,REST,9,11,L,FLAT,39,61,2,0,50
T9S11AK11,19.832581,-155.309994,2194610.226,258057.311,1716.993286,T9S11AK11,AK,Koa + Understory,REST,9,11,L,SLOPE,34,64,2,0,58
ST8S4AK1,19.821309,-155.325877,2193384.543,256377.3829,1926.579468,ST8S4AK1,AK,Koa + Understory,REST,8,4,M,FLAT,35,65,10,0,57
T8S5AK6,19.82169,-155.323846,2193424.207,256589.2748,1905.540649,T8S5AK6,AK,Koa + Understory,REST,8,5,M,SLOPE,25,70,5,0,60
T9S12AK5,19.832828,-155.307961,2194634.662,258270.7054,1698.406006,T9S12AK5,AK,Koa + Understory,REST,9,12,L,SLOPE,27,73,5,0,63
T8S4AK3,19.821627,-155.3254,2193419.473,256426.3361,1923.137817,T8S4AK3,AK,Koa + Understory,REST,8,4,S,FLAT,5,75,20,0,55
T8S4AK1,19.821733,-155.325013,2193430.651,256467.0512,1920.691284,T8S4AK1,AK,Koa + Understory,REST,8,4,L,FLAT,10,80,10,0,75
T8S4AK2,19.82159,-155.325165,2193415.037,256450.9052,1921.925171,T8S4AK2,AK,Koa + Understory,REST,8,4,M,FLAT,13,80,7,0,50
T8S4AK5,19.821169,-155.326303,2193370.062,256331.0126,1938.659912,T8S4AK5,AK,Koa + Understory,REST,8,4,L,FLAT,15,80,5,0,70
ST9S15OP1,19.831771,-155.302953,2194510.049,258795.3677,1657.414673,ST9S15OP1,OP,Open pasture,FRAG,9,15,NA,FLAT,100,0,0,0,0
ST11S13OP4,19.850396,-155.309425,2196581.619,258145.4498,1715.376831,ST11S13OP4,OP,Open pasture,FRAG,11,13,NA,FLAT,98,2,0,0,0
ST11S12OP3,19.850124,-155.310798,2196553.471,258001.1884,1733.573853,ST11S12OP3,OP,Open pasture,FRAG,11,12,NA,FLAT,90,10,0,0,10
ST9S16OP2,19.832874,-155.300533,2194628.724,259050.6034,1636.941528,ST9S16OP2,OP,Open pasture,FRAG,9,16,NA,FLAT,70,30,0,0,10
ST11S14OP5,19.850935,-155.307681,2196638.8,258328.9846,1699.429688,ST11S14OP5,OP,Open pasture,FRAG,11,14,NA,SLOPE,60,40,0,0,0
ST8S8OP5,19.82076,-155.317729,2193312.014,257230.3731,1831.714111,ST8S8OP5,OP,Open pasture,FRAG,8,8,NA,FLAT,55,45,0,0,45
ST11S8OP6,19.847159,-155.318323,2196235.982,257208.2806,1796.084351,ST11S8OP6,OP,Open pasture,REST,11,8,NA,FLAT,100,0,0,0,0
ST11S9OP7,19.847401,-155.316746,2196260.508,257373.8744,1787.607788,ST11S9OP7,OP,Open pasture,REST,11,9,NA,FLAT,100,0,0,0,0
ST8S4OP1,19.821349,-155.325443,2193388.346,256422.9226,1916.39917,ST8S4OP1,OP,Open pasture,REST,8,4,NA,FLAT,100,0,0,0,0
ST8S5OP2,19.820982,-155.324143,2193345.833,256558.5899,1914.981323,ST8S5OP2,OP,Open pasture,REST,8,5,NA,FLAT,100,0,0,0,0
ST8S6OP3,19.820878,-155.322074,2193331.335,256775.2415,1876.118652,ST8S6OP3,OP,Open pasture,REST,8,6,NA,SLOPE,100,0,0,0,0
ST8S7OP4,19.82074,-155.320197,2193313.351,256971.7218,1854.538208,ST8S7OP4,OP,Open pasture,REST,8,7,NA,SLOPE,100,0,0,0,0
ST11S10OP1,19.848256,-155.314571,2196352.052,257603.0526,1758.103638,ST11S10OP1,OP,Open pasture,REST,11,10,NA,FLAT,95,5,0,0,0
ST11S11OP2,19.849184,-155.312488,2196451.814,257822.7,1747.978394,ST11S11OP2,OP,Open pasture,REST,11,11,NA,FLAT,90,10,0,0,10
T9S16RK1,19.832839,-155.301147,2194626.131,258984.6989,1645.523926,T9S16RK1,RK,Remnant koa forest,FRAG,9,16,M,FLAT,72,23,5,0,16
ST8S9RK3,19.8207,-155.315591,2193302.297,257454.322,1814.599487,ST8S9RK3,RK,Remnant koa forest,FRAG,8,9,S,FLAT,5,25,5,0,15
ST9S16RK1,19.833001,-155.300435,2194642.646,259061.0636,1640.13855,ST9S16RK1,RK,Remnant koa forest,FRAG,9,16,S,FLAT,60,30,1,0,25
T9S16RK2,19.832971,-155.301257,2194640.904,258973.3724,1644.875,T9S16RK2,RK,Remnant koa forest,FRAG,9,16,M,FLAT,66,34,0,0,15
T11S14RK15,19.851715,-155.308009,2196726.044,258294.2864,1708.589355,T11S14RK15,RK,Remnant koa forest,FRAG,11,14,M,SLOPE,45,50,5,0,20
T9S14RK4,19.831702,-155.304445,2194504.949,258637.4131,1664.429077,T9S14RK4,RK,Remnant koa forest,FRAG,9,14,S,SLOPE,41,59,3,0,1
T8S10RK3,19.821056,-155.314977,2193341.241,257517.6867,1790.981567,T8S10RK3,RK,Remnant koa forest,FRAG,8,10,S,FLAT,35,60,5,0,40
ST11S14RK4,19.851412,-155.307501,2196691.359,258348.5658,1695.976929,ST11S14RK4,RK,Remnant koa forest,FRAG,11,14,L,FLAT,40,60,20,0,15
T11S13RK12,19.850145,-155.308063,2196552.278,258286.2495,1711.563843,T11S13RK12,RK,Remnant koa forest,FRAG,11,13,M,FLAT,28,70,2,0,20
T11S14RK16,19.85149,-155.307058,2196699.766,258393.5805,1697.392822,T11S14RK16,RK,Remnant koa forest,FRAG,11,14,M,FLAT,25,70,5,0,30
T8S9RK2,19.820945,-155.316774,2193331.532,257329.2118,1814.284424,T8S9RK2,RK,Remnant koa forest,FRAG,8,9,S,FLAT,0,70,25,5,50
ST11S12RK3,19.849608,-155.310662,2196496.14,258014.6543,1728.344849,ST11S12RK3,RK,Remnant koa forest,FRAG,11,12,M,FLAT,10,70,20,0,30
T11S12RK10,19.849802,-155.310374,2196517.614,258043.6063,1730.06311,T11S12RK10,RK,Remnant koa forest,FRAG,11,12,M,SLOPE,20,75,5,0,55
T9S16RK3,19.832201,-155.300257,2194554.216,259076.991,1642.315186,T9S16RK3,RK,Remnant koa forest,FRAG,9,16,L,FLAT,30,75,50,0,60
ST11S15RK5,19.85156,-155.30539,2196704.721,258569.9567,1687.85376,ST11S15RK5,RK,Remnant koa forest,FRAG,11,15,S,FLAT,25,75,40,0,6
ST8S10RK4,19.820746,-155.314795,2193306.247,257537.8042,1803.960938,ST8S10RK4,RK,Remnant koa forest,FRAG,8,10,M,FLAT,35,85,35,0,75
T11S13RK11,19.849504,-155.309556,2196483.443,258128.8563,1706.422241,T11S13RK11,RK,Remnant koa forest,FRAG,11,13,M,SLOPE,8,90,2,0,15
T11S13RK13,19.850566,-155.309806,2196601.395,258104.2744,1723.722534,T11S13RK13,RK,Remnant koa forest,FRAG,11,13,S,FLAT,3,92,5,0,72
T11S14RK14,19.851075,-155.30781,2196654.892,258314.1655,1698.325562,T11S14RK14,RK,Remnant koa forest,FRAG,11,14,M,FLAT,5,95,0,0,40
T11S9RK2,19.847439,-155.318238,2196267.27,257216.0963,1793.718506,T11S9RK2,RK,Remnant koa forest,REST,11,9,L,SLOPE,100,0,2,0,0
T8S5RK1,19.821431,-155.32392,2193395.635,256581.1258,1905.690063,T8S5RK1,RK,Remnant koa forest,REST,8,5,L,SLOPE,95,0,5,0,0
T11S10RK7,19.848142,-155.313622,2196338.471,257700.7913,1761.608398,T11S10RK7,RK,Remnant koa forest,REST,11,10,L,FLAT,96,2,0,0,4
T11S9RK3,19.847501,-155.31805,2196273.864,257235.8878,1796.871338,T11S9RK3,RK,Remnant koa forest,REST,11,9,L,SLOPE,93,5,2,0,5
ST8S5RK2,19.820923,-155.32395,2193339.022,256578.7244,1912.752686,ST8S5RK2,RK,Remnant koa forest,REST,8,5,M,FLAT,90,10,8,0,10
T11S9RK1,19.848033,-155.315627,2196329.284,257490.559,1778.349976,T11S9RK1,RK,Remnant koa forest,REST,11,9,L,SLOPE,84,16,0,0,1
ST11S8RK6,19.847451,-155.318034,2196267.898,257239.0041,1791.393799,ST11S8RK6,RK,Remnant koa forest,REST,11,8,L,FLAT,75,22,3,0,10
T11S11RK9,19.848157,-155.311608,2196337.238,257911.8234,1742.693604,T11S11RK9,RK,Remnant koa forest,REST,11,11,L,FLAT,65,30,5,0,20
T11S9RK4,19.847868,-155.317067,2196313.086,257339.4369,1790.47937,T11S9RK4,RK,Remnant koa forest,REST,11,9,L,SLOPE,70,30,2,0,20
ST8S4RK1,19.82101,-155.324675,2193349.701,256502.8844,1918.292725,ST8S4RK1,RK,Remnant koa forest,REST,8,4,L,FLAT,69,31,5,0,15
ST11S10RK1,19.848317,-155.314435,2196358.611,257617.3942,1759.928711,ST11S10RK1,RK,Remnant koa forest,REST,11,10,L,SLOPE,65,35,15,0,25
ST11S11RK2,19.849489,-155.312646,2196485.813,257806.6094,1748.062378,ST11S11RK2,RK,Remnant koa forest,REST,11,11,L,FLAT,60,40,10,0,30
T11S10RK5,19.847868,-155.314748,2196309.75,257582.4024,1767.769287,T11S10RK5,RK,Remnant koa forest,REST,11,10,L,SLOPE,55,45,3,0,25
T11S10RK6,19.847997,-155.314526,2196323.715,257605.8577,1766.054443,T11S10RK6,RK,Remnant koa forest,REST,11,10,L,SLOPE,35,60,5,0,50
ST11S9RK7,19.846925,-155.316558,2196207.531,257392.8477,1786.625,ST11S9RK7,RK,Remnant koa forest,REST,11,9,L,FLAT,40,60,5,0,45
T11S11RK8,19.849044,-155.313039,2196437.51,257763.2428,1754.437622,T11S11RK8,RK,Remnant koa forest,REST,11,11,L,SLOPE,80,80,0,0,40
T9S14RO7,19.832417,-155.305321,2194585.373,258546.7057,1679.239624,T9S14RO7,RO,Remnant ohia forest,FRAG,9,14,L,SLOPE,96,4,0,0,2
ST9S16RO7,19.832724,-155.30055,2194612.139,259048.5958,1638.849609,ST9S16RO7,RO,Remnant ohia forest,FRAG,9,16,M,FLAT,95,5,0,0,4
T9S14RO9,19.831943,-155.304108,2194531.152,258673.0888,1669.760742,T9S14RO9,RO,Remnant ohia forest,FRAG,9,14,L,FLAT,93,7,0,0,3
ST11S13RO5,19.850253,-155.30936,2196565.691,258152.043,1715.950439,ST11S13RO5,RO,Remnant ohia forest,FRAG,11,13,L,FLAT,90,10,0,0,8
T9S15RO5,19.832576,-155.30323,2194599.987,258766.0433,1654.282227,T9S15RO5,RO,Remnant ohia forest,FRAG,9,15,M,FALT,79,21,0,0,17
T9S14RO8,19.832151,-155.305232,2194555.792,258555.6289,1672.333008,T9S14RO8,RO,Remnant ohia forest,FRAG,9,14,L,FLAT,72,28,0,0,25
T9S16RO1,19.832727,-155.300012,2194612.109,259103.456,1622.020142,T9S16RO1,RO,Remnant ohia forest,FRAG,9,16,M,FLAT,72,28,0,0,3
T11S14RO10,19.85011,-155.307625,2196547.775,258332.0856,1718.862915,T11S14RO10,RO,Remnant ohia forest,FRAG,11,14,S,SLOPE,70,30,0,0,25
T8S8RO10,19.821316,-155.318027,2193374.414,257198.4745,1815.985962,T8S8RO10,RO,Remnant ohia forest,FRAG,8,8,L,FLAT,68,30,2,0,30
ST9S15RO4,19.832471,-155.302547,2194586.978,258838.9664,1653.795532,ST9S15RO4,RO,Remnant ohia forest,FRAG,9,15,L,FLAT,70,30,2,0,25
T11S15RO11,19.851211,-155.306187,2196667.625,258484.4116,1702.136108,T11S15RO11,RO,Remnant ohia forest,FRAG,11,15,S,FLAT,65,35,0,0,25
T11S13RO8,19.850619,-155.309271,2196606.496,258160.4064,1712.991211,T11S13RO8,RO,Remnant ohia forest,FRAG,11,13,L,FLAT,59,38,3,0,28
T9S16RO2,19.832503,-155.30138,2194589.26,258959.7778,1641.72644,T9S16RO2,RO,Remnant ohia forest,FRAG,9,16,L,FLAT,62,38,0,0,13
T8S8RO9,19.820998,-155.318439,2193339.795,257154.8179,1829.981323,T8S8RO9,RO,Remnant ohia forest,FRAG,8,8,M,FLAT,45,40,15,0,30
ST11S12RO1,19.850241,-155.310805,2196566.436,258000.6325,1731.703979,ST11S12RO1,RO,Remnant ohia forest,FRAG,11,12,M,FLAT,60,40,5,0,25
ST11S12RO2,19.850056,-155.310742,2196545.861,258006.9523,1730.021362,ST11S12RO2,RO,Remnant ohia forest,FRAG,11,12,M,SLOPE,60,40,0,0,1
ST8S9RO6,19.820718,-155.31632,2193305.338,257377.9578,1821.905273,ST8S9RO6,RO,Remnant ohia forest,FRAG,8,9,S,FLAT,10,46,10,0,46
T9S15RO4,19.833065,-155.302606,2194653.241,258832.1653,1656.161865,T9S15RO4,RO,Remnant ohia forest,FRAG,9,15,M,FLAT,53,47,0,0,37
ST11S14RO6,19.850928,-155.30737,2196637.579,258361.5572,1699.438599,ST11S14RO6,RO,Remnant ohia forest,FRAG,11,14,L,SLOPE,50,50,10,0,5
ST9S16RO6,19.832901,-155.300776,2194632.06,259025.1825,1640.963135,ST9S16RO6,RO,Remnant ohia forest,FRAG,9,16,M,FLAT,50,50,0,0,40
ST9S13RO2,19.832575,-155.306028,2194603.473,258474.3806,1674.562378,ST9S13RO2,RO,Remnant ohia forest,FRAG,9,13,M,FLAT,40,60,15,3,25
T8S8RO8,19.820306,-155.318961,2193263.922,257099.0656,1829.091919,T8S8RO8,RO,Remnant ohia forest,FRAG,8,8,M,SLOPE,20,65,15,0,45
ST11S13RO4,19.850021,-155.309223,2196539.806,258166.0447,1710.847534,ST11S13RO4,RO,Remnant ohia forest,FRAG,11,13,M,FLAT,32,68,15,0,55
T11S12RO7,19.850018,-155.310303,2196541.429,258051.3726,1723.084717,T11S12RO7,RO,Remnant ohia forest,FRAG,11,12,M,FLAT,30,70,0,0,55
ST11S14RO7,19.850765,-155.307455,2196619.652,258352.4049,1702.11438,ST11S14RO7,RO,Remnant ohia forest,FRAG,11,14,M,SLOPE,30,70,12,0,38
ST9S14RO3,19.832671,-155.304567,2194612.012,258627.611,1673.711426,ST9S14RO3,RO,Remnant ohia forest,FRAG,9,14,L,FLAT,30,70,10,2,50
ST9S15RO5,19.832419,-155.302611,2194581.312,258832.1818,1658.830322,ST9S15RO5,RO,Remnant ohia forest,FRAG,9,15,L,FLAT,30,70,10,1,50
T9S16RO3,19.832304,-155.300933,2194566.587,259006.3145,1641.411499,T9S16RO3,RO,Remnant ohia forest,FRAG,9,16,M,SLOPE,26,74,0,0,60
T11S14RO9,19.850186,-155.307126,2196555.475,258384.4808,1712.34314,T11S14RO9,RO,Remnant ohia forest,FRAG,11,14,S,FLAT,25,75,0,0,25
T8S7RO7,19.820596,-155.319293,2193296.511,257064.7164,1839.746826,T8S7RO7,RO,Remnant ohia forest,FRAG,8,7,S,SLOPE,23,75,2,0,35
ST9S13RO1,19.832485,-155.306028,2194593.508,258474.2445,1672.563843,ST9S13RO1,RO,Remnant ohia forest,FRAG,9,13,L,FLAT,10,75,10,5,60
ST8S9RO7,19.820736,-155.316151,2193307.088,257395.6945,1822.098267,ST8S9RO7,RO,Remnant ohia forest,FRAG,8,9,M,FLAT,35,76,35,3,72
ST11S15RO8,19.851412,-155.305662,2196688.723,258541.2356,1690.760132,ST11S15RO8,RO,Remnant ohia forest,FRAG,11,15,L,SLOPE,15,77,15,0,62
ST8S10RO8,19.820386,-155.314626,2193266.143,257554.9673,1804.425049,ST8S10RO8,RO,Remnant ohia forest,FRAG,8,10,M,FLAT,10,80,10,2,60
ST8S8RO5,19.82078,-155.318153,2193314.839,257185.9727,1833.884277,ST8S8RO5,RO,Remnant ohia forest,FRAG,8,8,S,FLAT,20,80,40,2,75
T9S14RO6,19.831678,-155.302773,2194499.901,258812.5716,1651.369141,T9S14RO6,RO,Remnant ohia forest,FRAG,9,14,L,SLOPE,40,82,20,0,72
T11S15RO12,19.85178,-155.306217,2196730.672,258482.1302,1697.932739,T11S15RO12,RO,Remnant ohia forest,FRAG,11,15,L,FLAT,3,92,5,0,72
ST9S17RO8,19.832641,-155.298946,2194600.659,259216.5388,1633.637573,ST9S17RO8,RO,Remnant ohia forest,INTACT,9,17,S,FLAT,20,80,5,0,45
T11S11RO2,19.849806,-155.312321,2196520.853,257839.625,1740.831055,T11S11RO2,RO,Restored ohia,REST,11,11,L,FLAT,95,5,0,0,0
T8S4RO1,19.820288,-155.325227,2193270.958,256442.4233,1918.482788,T8S4RO1,RO,Restored ohia,REST,8,4,M,SLOPE,95,5,0,0,0
ST8S7RO3,19.820789,-155.319923,2193318.382,257000.5087,1843.975586,ST8S7RO3,RO,Restored ohia,REST,8,7,S,FLAT,92,8,0,0,0
ST8S4RO1,19.821079,-155.324382,2193356.918,256533.6929,1921.033569,ST8S4RO1,RO,Restored ohia,REST,8,4,L,FLAT,90,10,0,0,5
T8S6RO5,19.820318,-155.321328,2193268.659,256851.046,1866.860107,T8S6RO5,RO,Restored ohia,REST,8,6,S,FLAT,85,15,0,0,0
T11S12RO6,19.85025,-155.311744,2196569.187,257900.7513,1735.692139,T11S12RO6,RO,Restored ohia,REST,11,12,M,SLOPE,83,17,0,0,6
T8S5RO3,19.819915,-155.323636,2193227.361,256608.5764,1899.200439,T8S5RO3,RO,Restored ohia,REST,8,5,M,SLOPE,70,20,5,0,5
ST11S12RO3,19.850214,-155.311592,2196564.577,257918.1377,1740.487305,ST11S12RO3,RO,Restored ohia,REST,11,12,M,FLAT,80,20,0,0,5
ST8S5RO2,19.820657,-155.323463,2193308.866,256629.3518,1909.784424,ST8S5RO2,RO,Restored ohia,REST,8,5,M,SLOPE,80,20,0,0,10
T9S12RO10,19.831977,-155.308251,2194540.848,258239.0302,1694.393921,T9S12RO10,RO,Restored ohia,REST,9,12,L,SLOPE,77,21,2,0,0
T11S10RO1,19.849175,-155.313851,2196453.182,257678.3679,1755.609375,T11S10RO1,RO,Restored ohia,REST,11,10,M,FLAT,78,22,0,0,10
T11S11RO3,19.848722,-155.311262,2196399.303,257948.9316,1731.099243,T11S11RO3,RO,Restored ohia,REST,11,11,M,SLOPE,60,34,6,0,24
T8S5RO2,19.820441,-155.323107,2193284.842,256664.8117,1893.349487,T8S5RO2,RO,Restored ohia,REST,8,5,M,SLOPE,60,35,5,0,10
T8S7RO6,19.820583,-155.319549,2193295.44,257037.8704,1846.557007,T8S7RO6,RO,Restored ohia,REST,8,7,L,FLAT,55,35,10,0,5
T8S6RO4,19.821139,-155.322086,2193360.659,256772.865,1887.834839,T8S6RO4,RO,Restored ohia,REST,8,6,M,SLOPE,45,45,10,0,25
ST11S8RO9,19.847374,-155.317621,2196258.778,257282.1578,1791.581665,ST11S8RO9,RO,Restored ohia,REST,11,8,M,SLOPE,50,50,0,0,2
T11S12RO5,19.849552,-155.31145,2196491.477,257930.4943,1737.100342,T11S12RO5,RO,Restored ohia,REST,11,12,M,SLOPE,46,52,2,0,27
ST8S7RO4,19.820734,-155.319317,2193311.42,257063.9276,1849.977783,ST8S7RO4,RO,Restored ohia,REST,8,7,S,SLOPE,35,65,10,1,10
T11S11RO4,19.848855,-155.311645,2196414.58,257909.0062,1738.565308,T11S11RO4,RO,Restored ohia,REST,11,11,L,SLOPE,13,85,2,0,55
